Fra,Til
0000000,0100999
0101000,0101999
0102000,0102999
0103000,0103999
0104000,0104999
0401000,0401999
0404000,0404999
0406000,0406999
0501000,0501999
0502000,0502999
0504000,0504999
0505000,0505999
0506000,0506999
0508000,0508999
0509000,0509999
0510000,0510999
0511000,0511999
0512000,0512999
0513000,0513999
0601000,0601999
0602000,0602999
0605000,0605999
0606000,0606999
0610000,0610999
0615000,0615999
0619000,0619999
0703000,0703999
0705000,0705999
0707000,0707999
0710000,0710999
0720000,0720999
0801000,0801999
0802000,0802999
0804000,0804999
0806000,0806999
0808000,0808999
0810000,0810999
0812000,0812999
0814000,0814999
0816000,0816999
0818000,0818999
0820000,0820999
0822000,0822999
0830000,0830999
0925000,0925999
0930000,0930999
0931000,0931999
0940000,0940999
1020000,1020999
1021000,1021999
1022000,1022999
1023000,1023999
1024000,1024999
1026000,1026999
1214000,1214999
1226000,1226999
1310000,1310999
1330000,1330999
1340000,1340999
1350000,1350999
1355000,1355999
1410000,1410999
1430000,1430999
1440000,1440999
1450000,1450999
1452000,1452999
1455000,1455999
1458000,1458999
1460000,1460999
1461000,1461999
1465000,1465999
1510000,1510999
1512000,1512999
1513000,1513999
1516000,1516999
1523000,1523999
1568000,1568999
1580000,1580999
1584000,1584999
1588000,1588999
1601000,1601999
1602000,1602999
1603000,1603999
1604000,1604999
1605000,1605999
1606000,1606999
1607000,1607999
1608000,1608999
1612000,1612999
1634000,1634999
1635000,1635999
1637000,1637999
1638000,1638999
1641000,1641999
1642000,1642999
1701000,1701999
1702000,1702999
1704000,1704999
1706000,1706999
1708000,1708999
1709000,1709999
1710000,1710999
1712000,1712999
1714000,1714999
1715000,1715999
1716000,1716999
1720000,1720999
1725000,1725999
1726000,1726999
1730000,1730999
1732000,1732999
1733000,1733999
1735000,1735999
1736000,1736999
1740000,1740999
1780000,1780999
1781000,1781999
1843000,1843999
1844000,1844999
1845000,1845999
1846000,1846999
1847000,1847999
1848000,1848999
1850000,1850999
1852000,1852999
1853000,1853999
1854000,1854999
1855000,1855999
1856000,1856999
1858000,1858999
1859000,1859999
1860000,1860999
1958000,1958999
1959000,1959999
1960000,1960999
1961000,1961999
1962000,1962999
1963000,1963999
1965000,1965999
1967000,1967999
1968000,1968999
1969000,1969999
1970000,1970999
1971000,1971999
1972000,1972999
1973000,1973999
1974000,1974999
1980000,1980999
1984000,1984999
1985000,1985999
1986000,1986999
2002000,2002999
2004000,2004999
2007000,2007999
2010000,2010999
2011000,2011999
2014000,2014999
2017000,2017999
2020000,2020999
2022000,2022999
2024000,2024999
2026000,2026999
2028000,2028999
2029000,2029999
2031000,2031999
2235000,2235999
2238000,2238999
2240000,2240999
2241000,2241999
2245000,2245999
2301000,2301999
2310000,2310999
2320000,2320999
2325000,2325999
2330000,2330999
2350000,2350999
2401000,2401999
2402000,2402999
2404000,2404999
2406000,2406999
2407000,2407999
2408000,2408999
2410000,2410999
2411000,2411999
2412000,2412999
2416000,2416999
2418000,2418999
2501000,2501999
2503000,2503999
2504000,2504999
2510000,2510999
2513000,2513999
2515000,2515999
2516000,2516999
2517000,2517999
2522000,2522999
2529000,2529999
2530000,2530999
2531000,2531999
2532000,2532999
2550000,2550999
2703000,2703999
2704000,2704999
2705000,2705999
2709000,2709999
2710000,2710999
2720000,2720999
2801000,2801999
2802000,2802999
2803000,2803999
2804000,2804999
2805000,2805999
2806000,2806999
2808000,2808999
2809000,2809999
2810000,2810999
3001000,3001999
3003000,3003999
3004000,3004999
3005000,3005999
3010000,3010999
3015000,3015999
3016000,3016999
3017000,3017999
3020000,3020999
3021000,3021999
3022000,3022999
3024000,3024999
3029000,3029999
3030000,3030999
3032000,3032999
3035000,3035999
3040000,3040999
3041000,3041999
3042000,3042999
3043000,3043999
3045000,3045999
3046000,3046999
3101000,3101999
3110000,3110999
3112000,3112999
3113000,3113999
3115000,3115999
3172000,3172999
3175000,3175999
3301000,3301999
3305000,3305999
3310000,3310999
3320000,3320999
3330000,3330999
3340000,3340999
3350000,3350999
3352000,3352999
3355000,3355999
3360000,3360999
3370000,3370999
3401000,3401999
3405000,3405999
3530000,3530999
3540000,3540999
3560000,3560999
3635000,3635999
3662000,3662999
3667000,3667999
3766000,3766999
3768000,3768999
3770000,3770999
4001000,4001999
4005000,4005999
4010000,4010999
4012000,4012999
4014000,4014999
4015000,4015999
4020000,4020999
4025000,4025999
4030000,4030999
4040000,4040999
4050000,4050999
4060000,4060999
4070000,4070999
5001000,5001999
5003000,5003999
5005000,5005999
5006000,5006999
5007000,5007999
5009000,5009999
5010000,5010999
5011000,5011999
5012000,5012999
5013000,5013999
5014000,5014999
5015000,5015999
5016000,5016999
5017000,5017999
5020000,5020999
5021000,5021999
5022000,5022999
5023000,5023999
5025000,5025999
7001000,7001999
7002000,7002999
7003000,7003999
7005000,7005999
7010000,7010999
7020000,7020999
7201000,7201999
7202000,7202999
7203000,7203999
7205000,7205999
7207000,7207999
7501000,7501999
7502000,7502999
8813000,8813999
8816000,8816999
8819000,8819999
8825000,8825999
8837000,8837999
8840000,8840999
8843000,8843999
8846000,8846999
8847000,8847999
8852000,8852999
8853000,8853999
8855000,8855999
8858000,8858999
8861000,8861999
8864000,8864999
8868000,8868999
8873000,8873999
8876000,8876999
8879000,8879999
8882000,8882999
9519000,9519999
9531000,9531999
9537000,9537999
9540000,9540999
9543000,9543999
9544000,9999999
