jobID,real,guess,pNFound
48138,4.0,0.67,0.00
49036,3.0,1.17,0.40
48129,10.0,1.16,0.67
49269,1.0,0.67,0.00
48140,6.0,7.65,1.00
40604,24.0,4.75,1.00
48541,3.0,2.75,0.56
48143,39.0,2.04,0.44
48141,1.0,0.67,0.00
39314,17.0,0.67,0.00
40956,5.5,2.86,1.00
48069,1.0,0.67,0.00
48147,1.0,2.97,0.60
39398,20.0,14.65,0.65
30546,3.0,4.62,1.00
47485,2.5,1.91,0.50
46037,12.0,9.10,0.92
41345,41.5,23.88,0.88
46554,29.0,25.91,0.76
49476,9.0,12.97,0.96
47551,4.0,2.10,0.73
44789,7.0,6.75,0.67
45537,49.0,5.31,0.65
49403,1.0,1.00,1.00
48150,1.0,0.67,0.00
47696,5.0,7.59,0.90
47694,3.5,2.79,0.71
47010,1.0,8.50,1.00
48151,3.0,1.06,0.50
47364,24.5,44.39,0.95
49131,6.5,7.10,0.83
18595,2.0,0.67,0.00
49525,2.0,0.93,1.00
15462,19.0,13.46,0.73
48812,12.5,0.67,0.00
49536,1.0,0.95,0.50
48155,1.0,1.01,1.00
44058,91.5,40.32,0.88
49255,4.0,1.56,0.50
48156,1.0,0.67,0.00
40844,62.5,13.46,0.59
43696,5.0,5.45,1.00
49523,1.0,1.52,0.50
45661,24.5,50.56,0.78
48951,2.5,3.27,1.00
47362,4.5,5.79,0.87
49545,6.0,3.06,0.92
46388,2.5,0.67,0.00
48822,4.5,1.61,1.00
49548,2.0,3.25,1.00
49526,2.5,1.26,0.67
48251,10.0,8.11,1.00
47382,1.5,2.24,0.86
48165,1.5,1.07,0.50
45678,46.5,43.14,0.94
12945,11.5,16.28,0.90
45003,42.5,2.99,0.86
48174,2.5,0.67,0.00
48160,2.0,2.35,0.88
44596,2.0,0.97,1.00
47698,7.5,2.07,0.67
47243,16.5,4.47,0.60
33959,14.5,9.85,0.74
22353,6.5,33.12,0.86
48710,6.0,0.67,0.00
32669,39.0,48.28,0.87
44156,4.5,11.38,0.84
32637,6.0,2.29,0.27
47559,2.0,0.67,0.00
39194,130.0,115.96,0.88
48171,2.0,0.67,0.00
49493,3.5,0.67,0.00
49574,1.5,3.49,0.78
41982,20.0,0.67,0.00
49482,5.5,4.59,0.70
40445,62.5,72.64,0.92
43170,19.0,8.79,0.88
49575,1.5,0.67,0.00
48173,3.0,1.76,0.75
20848,111.5,56.18,0.93
29053,49.0,58.43,1.00
49577,57.5,0.67,0.00
49587,0.5,1.33,1.00
48560,16.0,5.00,1.00
19367,9.0,6.17,0.65
49592,2.5,0.67,0.00
45568,1.0,0.67,0.00
39188,38.5,1.63,1.00
49130,4.5,6.34,0.88
43509,1.0,1.02,0.33
49195,6.0,1.05,0.25
46245,16.0,19.26,0.91
49593,2.5,2.66,0.78
48181,10.5,11.56,0.72
48189,13.0,7.89,0.88
48178,7.0,6.92,1.00
45322,17.5,0.67,0.00
47695,2.0,0.67,0.00
44895,22.0,21.44,0.77
49595,1.0,2.57,1.00
49589,4.0,3.10,1.00
48087,12.5,4.41,0.50
45133,110.0,57.95,0.95
47626,2.0,0.67,0.00
46086,5.5,4.67,1.00
30772,58.5,30.33,0.77
33069,12.5,5.11,0.77
47749,4.0,1.42,0.14
49213,5.5,6.93,0.86
17913,105.5,37.50,0.89
48194,2.0,2.48,0.86
40853,6.5,1.44,1.00
48950,5.0,0.67,0.00
48004,1.5,0.67,0.00
49610,2.5,3.74,0.85
48273,4.0,5.39,0.80
49615,4.0,0.67,0.00
47171,1.0,1.51,0.50
48041,7.5,10.34,1.00
49298,1.0,0.67,0.00
48134,1.5,1.60,0.60
26303,5.0,3.95,0.64
45446,10.5,9.20,0.82
41389,9.5,5.31,0.90
43669,6.5,7.37,0.81
35481,115.5,1.39,1.00
39843,10.5,0.67,0.00
46689,3.0,3.08,0.80
40313,19.0,13.53,0.73
43655,8.5,11.14,0.96
46762,51.0,1.88,1.00
47922,2.0,0.67,0.00
48185,3.5,2.70,1.00
24808,23.5,25.64,0.94
48231,1.5,0.80,1.00
48223,1.5,1.64,0.33
49618,1.0,0.67,0.00
48226,1.0,0.67,0.00
37771,0.5,3.05,0.54
48228,2.0,1.37,1.00
48153,2.0,2.93,0.80
40322,77.5,56.41,0.81
47775,0.5,1.69,0.50
43251,2.5,2.32,0.86
49414,3.0,1.03,0.33
48774,21.0,16.51,1.00
46955,34.0,18.04,0.93
10958,30.0,11.81,1.00
48287,6.5,14.49,1.00
37916,39.0,36.08,0.88
45413,3.5,4.22,0.82
46785,5.5,9.35,0.92
26454,150.0,51.60,0.92
49047,26.0,2.35,1.00
35799,74.0,48.90,0.94
33491,18.5,2.05,1.00
47779,1.5,1.07,1.00
33469,41.5,45.34,0.86
47854,3.5,2.20,0.75
48625,1.5,1.98,0.50
49633,1.5,1.26,0.50
48184,3.0,6.13,0.85
42798,1.5,0.67,0.00
42610,1.5,0.67,0.00
35981,96.0,79.16,0.94
47320,1.0,0.67,0.00
49349,2.0,1.50,0.60
36179,6.5,3.51,0.60
49502,1.0,0.67,0.00
46396,2.0,2.07,0.75
46999,1.0,0.67,0.00
45520,5.5,10.79,0.84
49335,6.0,5.27,0.76
46683,2.0,2.79,0.75
48283,8.0,14.45,1.00
48660,53.0,0.67,0.00
47973,4.0,2.17,0.71
47945,3.0,0.67,0.00
49494,7.0,18.39,0.97
43847,3.5,5.10,0.89
48208,2.0,3.17,0.67
48292,12.0,7.38,1.00
43562,1.5,0.67,0.00
42239,9.5,11.80,0.96
47982,2.0,1.38,0.40
46022,3.0,1.06,0.17
